date,rank,team,games,wins,losses,draws,win_rate,games_behind,최근10경기,연속,홈,방문,season,recent10_wins,recent10_draws,recent10_losses,recent10_win_rate,home_wins,home_draws,home_losses,home_win_rate,away_wins,away_draws,away_losses,away_win_rate,games_played_ratio,month,final_rank,postseason,prev_season,prev_final_rank,prev_postseason,prev_win_rate,prev_avg,prev_runs_per_game,prev_hr_per_game,prev_rbi_per_game,prev_era,prev_whip,prev_so_per9,prev_bb_per9,prev_ra_per_game,prev_fpct,prev_errors_per_game,prev_sb_rate,prev_sb_per_game,prev_top5_hitter_hr,prev_top5_hitter_rbi,prev_top5_hitter_hits,prev_top5_hitter_tb,prev_top5_hitter_pa,prev_top5_hitter_xr,prev_top5_hitter_gpa,prev_top5_hitter_isop,prev_top5_pitcher_ip,prev_top5_pitcher_so,prev_top5_pitcher_bb,prev_top5_pitcher_hr,prev_top5_pitcher_era,prev_top5_pitcher_whip
2024-06-25,5.0,SSG,77.0,38.0,38.0,1.0,0.5,7.5,4승0무6패,2패,18-1-20,20-0-18,2024,4.0,0.0,6.0,0.4,18.0,1.0,20.0,0.47368421052631576,20.0,0.0,18.0,0.5263157894736842,0.5347222222222222,6,6.0,0.0,2023,3.0,1.0,0.539,0.26,4.569444444444445,0.8680555555555556,4.243055555555555,4.37,1.53,6.804139715394567,4.275291073738681,4.847222222222222,0.978,0.8263888888888888,77.4,0.6666666666666666,72.0,303.0,639.0,993.0,2585.0,355.3,0.2734,0.1658,313.0,207.0,139.0,22.0,4.38,1.475
2024-06-25,6.0,NC,77.0,37.0,38.0,2.0,0.493,8.0,5승0무5패,1패,18-0-18,19-2-20,2024,5.0,0.0,5.0,0.5,18.0,0.0,18.0,0.5,19.0,2.0,20.0,0.48717948717948717,0.5347222222222222,6,9.0,0.0,2023,4.0,1.0,0.528,0.27,4.715277777777778,0.6805555555555556,4.458333333333333,3.83,1.31,7.656087408949012,3.6032778355879294,4.284722222222222,0.976,0.9027777777777778,70.7,0.7708333333333334,46.0,340.0,693.0,982.0,2628.0,372.5,0.2738,0.1264,180.33333333333334,209.0,35.0,9.0,2.0,0.95
2024-06-25,7.0,한화,76.0,34.0,40.0,2.0,0.459,10.5,5승0무5패,1승,18-2-19,16-0-21,2024,5.0,0.0,5.0,0.5,18.0,2.0,19.0,0.4864864864864865,16.0,0.0,21.0,0.43243243243243246,0.5277777777777778,6,8.0,0.0,2023,9.0,0.0,0.42,0.241,4.194444444444445,0.6944444444444444,3.9444444444444446,4.38,1.4,7.225548387096774,3.609290322580645,4.916666666666667,0.98,0.7569444444444444,75.3,0.4652777777777778,61.0,264.0,490.0,760.0,2131.0,272.2,0.257,0.1375,177.33333333333334,147.0,59.0,14.0,3.6,1.17
2024-06-25,8.0,롯데,75.0,32.0,40.0,3.0,0.444,11.5,4승1무5패,2승,20-2-16,12-1-24,2024,4.0,1.0,5.0,0.4444444444444444,20.0,2.0,16.0,0.5555555555555556,12.0,1.0,24.0,0.3333333333333333,0.5208333333333334,6,7.0,0.0,2023,7.0,0.0,0.472,0.265,4.534722222222222,0.4791666666666667,4.222222222222222,4.15,1.46,7.568771286350538,3.763164789101389,4.583333333333333,0.981,0.7152777777777778,70.6,0.7013888888888888,28.0,179.0,380.0,537.0,1507.0,196.1,0.261,0.11633333333333333,324.33333333333337,276.0,115.0,14.0,3.365,1.3250000000000002
2024-06-25,9.0,KT,77.0,33.0,43.0,1.0,0.434,12.5,5승0무5패,2승,17-0-20,16-1-23,2024,5.0,0.0,5.0,0.5,17.0,0.0,20.0,0.4594594594594595,16.0,1.0,23.0,0.41025641025641024,0.5347222222222222,6,5.0,1.0,2023,2.0,1.0,0.56,0.265,4.666666666666667,0.6180555555555556,4.3125,3.94,1.35,6.769230769230769,2.888111888111888,4.277777777777778,0.981,0.6875,74.4,0.6041666666666666,53.0,327.0,622.0,906.0,2473.0,323.8,0.2664,0.13340000000000002,334.66666666666663,271.0,64.0,19.0,3.16,1.18
2024-06-25,10.0,키움,75.0,30.0,45.0,0.0,0.4,15.0,4승0무6패,1승,16-0-24,14-0-21,2024,4.0,0.0,6.0,0.4,16.0,0.0,24.0,0.4,14.0,0.0,21.0,0.4,0.5208333333333334,6,10.0,0.0,2023,10.0,0.0,0.411,0.261,4.215277777777778,0.4236111111111111,4.0,4.42,1.45,6.720310478654593,3.7164294954721866,4.930555555555555,0.979,0.7916666666666666,83.1,0.375,7.0,57.0,186.0,248.0,621.0,98.6,0.29,0.112,334.3333333333333,311.0,79.0,12.0,2.52,1.09
2024-06-26,1.0,KIA,78.0,45.0,31.0,2.0,0.592,0.0,6승1무3패,1패,21-1-16,24-1-15,2024,6.0,1.0,3.0,0.6666666666666666,21.0,1.0,16.0,0.5675675675675675,24.0,1.0,15.0,0.6153846153846154,0.5416666666666666,6,1.0,1.0,2023,6.0,0.0,0.514,0.276,5.041666666666667,0.7013888888888888,4.673611111111111,4.13,1.42,6.950354609929078,4.0,4.513888888888889,0.981,0.7083333333333334,78.2,0.8472222222222222,40.0,277.0,556.0,784.0,2096.0,290.2,0.27225,0.1195,171.0,133.0,48.0,13.0,3.58,1.34
2024-06-26,2.0,LG,80.0,44.0,34.0,2.0,0.564,2.0,5승0무5패,2승,23-1-14,21-1-20,2024,5.0,0.0,5.0,0.5,23.0,1.0,14.0,0.6216216216216216,21.0,1.0,20.0,0.5121951219512195,0.5555555555555556,6,3.0,1.0,2023,1.0,1.0,0.606,0.279,5.326388888888889,0.6458333333333334,4.958333333333333,3.67,1.36,6.798711340206186,3.416752577319588,4.236111111111111,0.976,0.8888888888888888,62.2,1.1527777777777777,46.0,379.0,759.0,1056.0,2882.0,413.09999999999997,0.2824,0.11979999999999999,470.0,350.0,139.0,32.0,3.85,1.3066666666666666
2024-06-26,3.0,삼성,78.0,43.0,34.0,1.0,0.558,2.5,5승0무5패,2패,22-0-17,21-1-17,2024,5.0,0.0,5.0,0.5,22.0,0.0,17.0,0.5641025641025641,21.0,1.0,17.0,0.5526315789473685,0.5416666666666666,6,2.0,1.0,2023,8.0,0.0,0.427,0.263,4.416666666666667,0.6111111111111112,4.1875,4.6,1.47,6.329335071707954,3.2667535853976535,5.055555555555555,0.981,0.7152777777777778,74.6,0.7152777777777778,57.0,333.0,673.0,968.0,2675.0,344.0,0.2632,0.1248,338.0,241.0,77.0,19.0,2.89,1.21
2024-06-26,4.0,두산,81.0,43.0,36.0,2.0,0.544,3.5,4승0무6패,1승,24-1-17,19-1-19,2024,4.0,0.0,6.0,0.4,24.0,1.0,17.0,0.5853658536585366,19.0,1.0,19.0,0.5,0.5625,6,4.0,1.0,2023,5.0,1.0,0.521,0.255,4.305555555555555,0.6944444444444444,3.923611111111111,3.92,1.36,7.096782563570316,3.509859885832901,4.340277777777778,0.978,0.7916666666666666,73.5,0.9236111111111112,57.0,284.0,628.0,926.0,2634.0,360.5,0.26739999999999997,0.151,192.0,162.0,35.0,16.0,2.67,1.07
2024-06-26,5.0,SSG,78.0,39.0,38.0,1.0,0.506,6.5,4승0무6패,1승,19-1-20,20-0-18,2024,4.0,0.0,6.0,0.4,19.0,1.0,20.0,0.48717948717948717,20.0,0.0,18.0,0.5263157894736842,0.5416666666666666,6,6.0,0.0,2023,3.0,1.0,0.539,0.26,4.569444444444445,0.8680555555555556,4.243055555555555,4.37,1.53,6.804139715394567,4.275291073738681,4.847222222222222,0.978,0.8263888888888888,77.4,0.6666666666666666,72.0,303.0,639.0,993.0,2585.0,355.3,0.2734,0.1658,313.0,207.0,139.0,22.0,4.38,1.475
2024-06-26,6.0,NC,78.0,37.0,39.0,2.0,0.487,8.0,5승0무5패,2패,18-0-18,19-2-21,2024,5.0,0.0,5.0,0.5,18.0,0.0,18.0,0.5,19.0,2.0,21.0,0.475,0.5416666666666666,6,9.0,0.0,2023,4.0,1.0,0.528,0.27,4.715277777777778,0.6805555555555556,4.458333333333333,3.83,1.31,7.656087408949012,3.6032778355879294,4.284722222222222,0.976,0.9027777777777778,70.7,0.7708333333333334,46.0,340.0,693.0,982.0,2628.0,372.5,0.2738,0.1264,180.33333333333334,209.0,35.0,9.0,2.0,0.95
2024-06-26,7.0,한화,77.0,34.0,41.0,2.0,0.453,10.5,5승0무5패,1패,18-2-20,16-0-21,2024,5.0,0.0,5.0,0.5,18.0,2.0,20.0,0.47368421052631576,16.0,0.0,21.0,0.43243243243243246,0.5347222222222222,6,8.0,0.0,2023,9.0,0.0,0.42,0.241,4.194444444444445,0.6944444444444444,3.9444444444444446,4.38,1.4,7.225548387096774,3.609290322580645,4.916666666666667,0.98,0.7569444444444444,75.3,0.4652777777777778,61.0,264.0,490.0,760.0,2131.0,272.2,0.257,0.1375,177.33333333333334,147.0,59.0,14.0,3.6,1.17
2024-06-26,8.0,롯데,76.0,33.0,40.0,3.0,0.452,10.5,5승1무4패,3승,21-2-16,12-1-24,2024,5.0,1.0,4.0,0.5555555555555556,21.0,2.0,16.0,0.5675675675675675,12.0,1.0,24.0,0.3333333333333333,0.5277777777777778,6,7.0,0.0,2023,7.0,0.0,0.472,0.265,4.534722222222222,0.4791666666666667,4.222222222222222,4.15,1.46,7.568771286350538,3.763164789101389,4.583333333333333,0.981,0.7152777777777778,70.6,0.7013888888888888,28.0,179.0,380.0,537.0,1507.0,196.1,0.261,0.11633333333333333,324.33333333333337,276.0,115.0,14.0,3.365,1.3250000000000002
2024-06-26,9.0,KT,78.0,33.0,44.0,1.0,0.429,12.5,5승0무5패,1패,17-0-20,16-1-24,2024,5.0,0.0,5.0,0.5,17.0,0.0,20.0,0.4594594594594595,16.0,1.0,24.0,0.4,0.5416666666666666,6,5.0,1.0,2023,2.0,1.0,0.56,0.265,4.666666666666667,0.6180555555555556,4.3125,3.94,1.35,6.769230769230769,2.888111888111888,4.277777777777778,0.981,0.6875,74.4,0.6041666666666666,53.0,327.0,622.0,906.0,2473.0,323.8,0.2664,0.13340000000000002,334.66666666666663,271.0,64.0,19.0,3.16,1.18
2024-06-26,10.0,키움,76.0,31.0,45.0,0.0,0.408,14.0,5승0무5패,2승,17-0-24,14-0-21,2024,5.0,0.0,5.0,0.5,17.0,0.0,24.0,0.4146341463414634,14.0,0.0,21.0,0.4,0.5277777777777778,6,10.0,0.0,2023,10.0,0.0,0.411,0.261,4.215277777777778,0.4236111111111111,4.0,4.42,1.45,6.720310478654593,3.7164294954721866,4.930555555555555,0.979,0.7916666666666666,83.1,0.375,7.0,57.0,186.0,248.0,621.0,98.6,0.29,0.112,334.3333333333333,311.0,79.0,12.0,2.52,1.09
2024-06-27,1.0,KIA,79.0,45.0,32.0,2.0,0.584,0.0,5승1무4패,2패,21-1-16,24-1-16,2024,5.0,1.0,4.0,0.5555555555555556,21.0,1.0,16.0,0.5675675675675675,24.0,1.0,16.0,0.6,0.5486111111111112,6,1.0,1.0,2023,6.0,0.0,0.514,0.276,5.041666666666667,0.7013888888888888,4.673611111111111,4.13,1.42,6.950354609929078,4.0,4.513888888888889,0.981,0.7083333333333334,78.2,0.8472222222222222,40.0,277.0,556.0,784.0,2096.0,290.2,0.27225,0.1195,171.0,133.0,48.0,13.0,3.58,1.34
2024-06-27,2.0,삼성,79.0,44.0,34.0,1.0,0.564,1.5,6승0무4패,1승,22-0-17,22-1-17,2024,6.0,0.0,4.0,0.6,22.0,0.0,17.0,0.5641025641025641,22.0,1.0,17.0,0.5641025641025641,0.5486111111111112,6,2.0,1.0,2023,8.0,0.0,0.427,0.263,4.416666666666667,0.6111111111111112,4.1875,4.6,1.47,6.329335071707954,3.2667535853976535,5.055555555555555,0.981,0.7152777777777778,74.6,0.7152777777777778,57.0,333.0,673.0,968.0,2675.0,344.0,0.2632,0.1248,338.0,241.0,77.0,19.0,2.89,1.21
2024-06-27,3.0,LG,81.0,44.0,35.0,2.0,0.557,2.0,5승0무5패,1패,23-1-15,21-1-20,2024,5.0,0.0,5.0,0.5,23.0,1.0,15.0,0.6052631578947368,21.0,1.0,20.0,0.5121951219512195,0.5625,6,3.0,1.0,2023,1.0,1.0,0.606,0.279,5.326388888888889,0.6458333333333334,4.958333333333333,3.67,1.36,6.798711340206186,3.416752577319588,4.236111111111111,0.976,0.8888888888888888,62.2,1.1527777777777777,46.0,379.0,759.0,1056.0,2882.0,413.09999999999997,0.2824,0.11979999999999999,470.0,350.0,139.0,32.0,3.85,1.3066666666666666
2024-06-27,4.0,두산,82.0,43.0,37.0,2.0,0.538,3.5,3승0무7패,1패,24-1-17,19-1-20,2024,3.0,0.0,7.0,0.3,24.0,1.0,17.0,0.5853658536585366,19.0,1.0,20.0,0.48717948717948717,0.5694444444444444,6,4.0,1.0,2023,5.0,1.0,0.521,0.255,4.305555555555555,0.6944444444444444,3.923611111111111,3.92,1.36,7.096782563570316,3.509859885832901,4.340277777777778,0.978,0.7916666666666666,73.5,0.9236111111111112,57.0,284.0,628.0,926.0,2634.0,360.5,0.26739999999999997,0.151,192.0,162.0,35.0,16.0,2.67,1.07
2024-06-27,5.0,SSG,79.0,39.0,39.0,1.0,0.5,6.5,3승0무7패,1패,19-1-21,20-0-18,2024,3.0,0.0,7.0,0.3,19.0,1.0,21.0,0.475,20.0,0.0,18.0,0.5263157894736842,0.5486111111111112,6,6.0,0.0,2023,3.0,1.0,0.539,0.26,4.569444444444445,0.8680555555555556,4.243055555555555,4.37,1.53,6.804139715394567,4.275291073738681,4.847222222222222,0.978,0.8263888888888888,77.4,0.6666666666666666,72.0,303.0,639.0,993.0,2585.0,355.3,0.2734,0.1658,313.0,207.0,139.0,22.0,4.38,1.475
2024-06-27,6.0,NC,79.0,37.0,40.0,2.0,0.481,8.0,4승0무6패,3패,18-0-18,19-2-22,2024,4.0,0.0,6.0,0.4,18.0,0.0,18.0,0.5,19.0,2.0,22.0,0.4634146341463415,0.5486111111111112,6,9.0,0.0,2023,4.0,1.0,0.528,0.27,4.715277777777778,0.6805555555555556,4.458333333333333,3.83,1.31,7.656087408949012,3.6032778355879294,4.284722222222222,0.976,0.9027777777777778,70.7,0.7708333333333334,46.0,340.0,693.0,982.0,2628.0,372.5,0.2738,0.1264,180.33333333333334,209.0,35.0,9.0,2.0,0.95
2024-06-27,7.0,한화,78.0,35.0,41.0,2.0,0.461,9.5,6승0무4패,1승,19-2-20,16-0-21,2024,6.0,0.0,4.0,0.6,19.0,2.0,20.0,0.48717948717948717,16.0,0.0,21.0,0.43243243243243246,0.5416666666666666,6,8.0,0.0,2023,9.0,0.0,0.42,0.241,4.194444444444445,0.6944444444444444,3.9444444444444446,4.38,1.4,7.225548387096774,3.609290322580645,4.916666666666667,0.98,0.7569444444444444,75.3,0.4652777777777778,61.0,264.0,490.0,760.0,2131.0,272.2,0.257,0.1375,177.33333333333334,147.0,59.0,14.0,3.6,1.17
2024-06-27,8.0,롯데,77.0,34.0,40.0,3.0,0.459,9.5,5승1무4패,4승,22-2-16,12-1-24,2024,5.0,1.0,4.0,0.5555555555555556,22.0,2.0,16.0,0.5789473684210527,12.0,1.0,24.0,0.3333333333333333,0.5347222222222222,6,7.0,0.0,2023,7.0,0.0,0.472,0.265,4.534722222222222,0.4791666666666667,4.222222222222222,4.15,1.46,7.568771286350538,3.763164789101389,4.583333333333333,0.981,0.7152777777777778,70.6,0.7013888888888888,28.0,179.0,380.0,537.0,1507.0,196.1,0.261,0.11633333333333333,324.33333333333337,276.0,115.0,14.0,3.365,1.3250000000000002
2024-06-27,9.0,KT,79.0,34.0,44.0,1.0,0.436,11.5,6승0무4패,1승,17-0-20,17-1-24,2024,6.0,0.0,4.0,0.6,17.0,0.0,20.0,0.4594594594594595,17.0,1.0,24.0,0.4146341463414634,0.5486111111111112,6,5.0,1.0,2023,2.0,1.0,0.56,0.265,4.666666666666667,0.6180555555555556,4.3125,3.94,1.35,6.769230769230769,2.888111888111888,4.277777777777778,0.981,0.6875,74.4,0.6041666666666666,53.0,327.0,622.0,906.0,2473.0,323.8,0.2664,0.13340000000000002,334.66666666666663,271.0,64.0,19.0,3.16,1.18
2024-06-27,10.0,키움,77.0,32.0,45.0,0.0,0.416,13.0,6승0무4패,3승,18-0-24,14-0-21,2024,6.0,0.0,4.0,0.6,18.0,0.0,24.0,0.42857142857142855,14.0,0.0,21.0,0.4,0.5347222222222222,6,10.0,0.0,2023,10.0,0.0,0.411,0.261,4.215277777777778,0.4236111111111111,4.0,4.42,1.45,6.720310478654593,3.7164294954721866,4.930555555555555,0.979,0.7916666666666666,83.1,0.375,7.0,57.0,186.0,248.0,621.0,98.6,0.29,0.112,334.3333333333333,311.0,79.0,12.0,2.52,1.09
2024-06-28,1.0,KIA,80.0,45.0,33.0,2.0,0.577,0.0,4승1무5패,3패,21-1-17,24-1-16,2024,4.0,1.0,5.0,0.4444444444444444,21.0,1.0,17.0,0.5526315789473685,24.0,1.0,16.0,0.6,0.5555555555555556,6,1.0,1.0,2023,6.0,0.0,0.514,0.276,5.041666666666667,0.7013888888888888,4.673611111111111,4.13,1.42,6.950354609929078,4.0,4.513888888888889,0.981,0.7083333333333334,78.2,0.8472222222222222,40.0,277.0,556.0,784.0,2096.0,290.2,0.27225,0.1195,171.0,133.0,48.0,13.0,3.58,1.34
2024-06-28,2.0,삼성,80.0,44.0,35.0,1.0,0.557,1.5,6승0무4패,1패,22-0-17,22-1-18,2024,6.0,0.0,4.0,0.6,22.0,0.0,17.0,0.5641025641025641,22.0,1.0,18.0,0.55,0.5555555555555556,6,2.0,1.0,2023,8.0,0.0,0.427,0.263,4.416666666666667,0.6111111111111112,4.1875,4.6,1.47,6.329335071707954,3.2667535853976535,5.055555555555555,0.981,0.7152777777777778,74.6,0.7152777777777778,57.0,333.0,673.0,968.0,2675.0,344.0,0.2632,0.1248,338.0,241.0,77.0,19.0,2.89,1.21
2024-06-28,3.0,LG,82.0,44.0,36.0,2.0,0.55,2.0,4승0무6패,2패,23-1-15,21-1-21,2024,4.0,0.0,6.0,0.4,23.0,1.0,15.0,0.6052631578947368,21.0,1.0,21.0,0.5,0.5694444444444444,6,3.0,1.0,2023,1.0,1.0,0.606,0.279,5.326388888888889,0.6458333333333334,4.958333333333333,3.67,1.36,6.798711340206186,3.416752577319588,4.236111111111111,0.976,0.8888888888888888,62.2,1.1527777777777777,46.0,379.0,759.0,1056.0,2882.0,413.09999999999997,0.2824,0.11979999999999999,470.0,350.0,139.0,32.0,3.85,1.3066666666666666
2024-06-28,4.0,두산,83.0,44.0,37.0,2.0,0.543,2.5,4승0무6패,1승,25-1-17,19-1-20,2024,4.0,0.0,6.0,0.4,25.0,1.0,17.0,0.5952380952380952,19.0,1.0,20.0,0.48717948717948717,0.5763888888888888,6,4.0,1.0,2023,5.0,1.0,0.521,0.255,4.305555555555555,0.6944444444444444,3.923611111111111,3.92,1.36,7.096782563570316,3.509859885832901,4.340277777777778,0.978,0.7916666666666666,73.5,0.9236111111111112,57.0,284.0,628.0,926.0,2634.0,360.5,0.26739999999999997,0.151,192.0,162.0,35.0,16.0,2.67,1.07
2024-06-28,5.0,SSG,80.0,39.0,40.0,1.0,0.494,6.5,3승0무7패,2패,19-1-21,20-0-19,2024,3.0,0.0,7.0,0.3,19.0,1.0,21.0,0.475,20.0,0.0,19.0,0.5128205128205128,0.5555555555555556,6,6.0,0.0,2023,3.0,1.0,0.539,0.26,4.569444444444445,0.8680555555555556,4.243055555555555,4.37,1.53,6.804139715394567,4.275291073738681,4.847222222222222,0.978,0.8263888888888888,77.4,0.6666666666666666,72.0,303.0,639.0,993.0,2585.0,355.3,0.2734,0.1658,313.0,207.0,139.0,22.0,4.38,1.475
2024-06-28,6.0,NC,80.0,38.0,40.0,2.0,0.487,7.0,4승0무6패,1승,19-0-18,19-2-22,2024,4.0,0.0,6.0,0.4,19.0,0.0,18.0,0.5135135135135135,19.0,2.0,22.0,0.4634146341463415,0.5555555555555556,6,9.0,0.0,2023,4.0,1.0,0.528,0.27,4.715277777777778,0.6805555555555556,4.458333333333333,3.83,1.31,7.656087408949012,3.6032778355879294,4.284722222222222,0.976,0.9027777777777778,70.7,0.7708333333333334,46.0,340.0,693.0,982.0,2628.0,372.5,0.2738,0.1264,180.33333333333334,209.0,35.0,9.0,2.0,0.95
2024-06-28,7.0,롯데,78.0,35.0,40.0,3.0,0.467,8.5,6승1무3패,5승,23-2-16,12-1-24,2024,6.0,1.0,3.0,0.6666666666666666,23.0,2.0,16.0,0.5897435897435898,12.0,1.0,24.0,0.3333333333333333,0.5416666666666666,6,7.0,0.0,2023,7.0,0.0,0.472,0.265,4.534722222222222,0.4791666666666667,4.222222222222222,4.15,1.46,7.568771286350538,3.763164789101389,4.583333333333333,0.981,0.7152777777777778,70.6,0.7013888888888888,28.0,179.0,380.0,537.0,1507.0,196.1,0.261,0.11633333333333333,324.33333333333337,276.0,115.0,14.0,3.365,1.3250000000000002
2024-06-28,8.0,한화,79.0,35.0,42.0,2.0,0.455,9.5,5승0무5패,1패,19-2-20,16-0-22,2024,5.0,0.0,5.0,0.5,19.0,2.0,20.0,0.48717948717948717,16.0,0.0,22.0,0.42105263157894735,0.5486111111111112,6,8.0,0.0,2023,9.0,0.0,0.42,0.241,4.194444444444445,0.6944444444444444,3.9444444444444446,4.38,1.4,7.225548387096774,3.609290322580645,4.916666666666667,0.98,0.7569444444444444,75.3,0.4652777777777778,61.0,264.0,490.0,760.0,2131.0,272.2,0.257,0.1375,177.33333333333334,147.0,59.0,14.0,3.6,1.17
2024-06-28,9.0,KT,80.0,35.0,44.0,1.0,0.443,10.5,7승0무3패,2승,18-0-20,17-1-24,2024,7.0,0.0,3.0,0.7,18.0,0.0,20.0,0.47368421052631576,17.0,1.0,24.0,0.4146341463414634,0.5555555555555556,6,5.0,1.0,2023,2.0,1.0,0.56,0.265,4.666666666666667,0.6180555555555556,4.3125,3.94,1.35,6.769230769230769,2.888111888111888,4.277777777777778,0.981,0.6875,74.4,0.6041666666666666,53.0,327.0,622.0,906.0,2473.0,323.8,0.2664,0.13340000000000002,334.66666666666663,271.0,64.0,19.0,3.16,1.18
2024-06-28,10.0,키움,78.0,33.0,45.0,0.0,0.423,12.0,6승0무4패,4승,18-0-24,15-0-21,2024,6.0,0.0,4.0,0.6,18.0,0.0,24.0,0.42857142857142855,15.0,0.0,21.0,0.4166666666666667,0.5416666666666666,6,10.0,0.0,2023,10.0,0.0,0.411,0.261,4.215277777777778,0.4236111111111111,4.0,4.42,1.45,6.720310478654593,3.7164294954721866,4.930555555555555,0.979,0.7916666666666666,83.1,0.375,7.0,57.0,186.0,248.0,621.0,98.6,0.29,0.112,334.3333333333333,311.0,79.0,12.0,2.52,1.09
2024-06-29,1.0,KIA,80.0,45.0,33.0,2.0,0.577,0.0,4승1무5패,3패,21-1-17,24-1-16,2024,4.0,1.0,5.0,0.4444444444444444,21.0,1.0,17.0,0.5526315789473685,24.0,1.0,16.0,0.6,0.5555555555555556,6,1.0,1.0,2023,6.0,0.0,0.514,0.276,5.041666666666667,0.7013888888888888,4.673611111111111,4.13,1.42,6.950354609929078,4.0,4.513888888888889,0.981,0.7083333333333334,78.2,0.8472222222222222,40.0,277.0,556.0,784.0,2096.0,290.2,0.27225,0.1195,171.0,133.0,48.0,13.0,3.58,1.34
2024-06-29,2.0,삼성,80.0,44.0,35.0,1.0,0.557,1.5,6승0무4패,1패,22-0-17,22-1-18,2024,6.0,0.0,4.0,0.6,22.0,0.0,17.0,0.5641025641025641,22.0,1.0,18.0,0.55,0.5555555555555556,6,2.0,1.0,2023,8.0,0.0,0.427,0.263,4.416666666666667,0.6111111111111112,4.1875,4.6,1.47,6.329335071707954,3.2667535853976535,5.055555555555555,0.981,0.7152777777777778,74.6,0.7152777777777778,57.0,333.0,673.0,968.0,2675.0,344.0,0.2632,0.1248,338.0,241.0,77.0,19.0,2.89,1.21
2024-06-29,3.0,LG,82.0,44.0,36.0,2.0,0.55,2.0,4승0무6패,2패,23-1-15,21-1-21,2024,4.0,0.0,6.0,0.4,23.0,1.0,15.0,0.6052631578947368,21.0,1.0,21.0,0.5,0.5694444444444444,6,3.0,1.0,2023,1.0,1.0,0.606,0.279,5.326388888888889,0.6458333333333334,4.958333333333333,3.67,1.36,6.798711340206186,3.416752577319588,4.236111111111111,0.976,0.8888888888888888,62.2,1.1527777777777777,46.0,379.0,759.0,1056.0,2882.0,413.09999999999997,0.2824,0.11979999999999999,470.0,350.0,139.0,32.0,3.85,1.3066666666666666
2024-06-29,4.0,두산,84.0,44.0,38.0,2.0,0.537,3.0,3승0무7패,1패,25-1-18,19-1-20,2024,3.0,0.0,7.0,0.3,25.0,1.0,18.0,0.5813953488372093,19.0,1.0,20.0,0.48717948717948717,0.5833333333333334,6,4.0,1.0,2023,5.0,1.0,0.521,0.255,4.305555555555555,0.6944444444444444,3.923611111111111,3.92,1.36,7.096782563570316,3.509859885832901,4.340277777777778,0.978,0.7916666666666666,73.5,0.9236111111111112,57.0,284.0,628.0,926.0,2634.0,360.5,0.26739999999999997,0.151,192.0,162.0,35.0,16.0,2.67,1.07
2024-06-29,5.0,SSG,81.0,40.0,40.0,1.0,0.5,6.0,3승0무7패,1승,19-1-21,21-0-19,2024,3.0,0.0,7.0,0.3,19.0,1.0,21.0,0.475,21.0,0.0,19.0,0.525,0.5625,6,6.0,0.0,2023,3.0,1.0,0.539,0.26,4.569444444444445,0.8680555555555556,4.243055555555555,4.37,1.53,6.804139715394567,4.275291073738681,4.847222222222222,0.978,0.8263888888888888,77.4,0.6666666666666666,72.0,303.0,639.0,993.0,2585.0,355.3,0.2734,0.1658,313.0,207.0,139.0,22.0,4.38,1.475
2024-06-29,6.0,NC,80.0,38.0,40.0,2.0,0.487,7.0,4승0무6패,1승,19-0-18,19-2-22,2024,4.0,0.0,6.0,0.4,19.0,0.0,18.0,0.5135135135135135,19.0,2.0,22.0,0.4634146341463415,0.5555555555555556,6,9.0,0.0,2023,4.0,1.0,0.528,0.27,4.715277777777778,0.6805555555555556,4.458333333333333,3.83,1.31,7.656087408949012,3.6032778355879294,4.284722222222222,0.976,0.9027777777777778,70.7,0.7708333333333334,46.0,340.0,693.0,982.0,2628.0,372.5,0.2738,0.1264,180.33333333333334,209.0,35.0,9.0,2.0,0.95
2024-06-29,7.0,롯데,78.0,35.0,40.0,3.0,0.467,8.5,6승1무3패,5승,23-2-16,12-1-24,2024,6.0,1.0,3.0,0.6666666666666666,23.0,2.0,16.0,0.5897435897435898,12.0,1.0,24.0,0.3333333333333333,0.5416666666666666,6,7.0,0.0,2023,7.0,0.0,0.472,0.265,4.534722222222222,0.4791666666666667,4.222222222222222,4.15,1.46,7.568771286350538,3.763164789101389,4.583333333333333,0.981,0.7152777777777778,70.6,0.7013888888888888,28.0,179.0,380.0,537.0,1507.0,196.1,0.261,0.11633333333333333,324.33333333333337,276.0,115.0,14.0,3.365,1.3250000000000002
2024-06-29,8.0,한화,79.0,35.0,42.0,2.0,0.455,9.5,5승0무5패,1패,19-2-20,16-0-22,2024,5.0,0.0,5.0,0.5,19.0,2.0,20.0,0.48717948717948717,16.0,0.0,22.0,0.42105263157894735,0.5486111111111112,6,8.0,0.0,2023,9.0,0.0,0.42,0.241,4.194444444444445,0.6944444444444444,3.9444444444444446,4.38,1.4,7.225548387096774,3.609290322580645,4.916666666666667,0.98,0.7569444444444444,75.3,0.4652777777777778,61.0,264.0,490.0,760.0,2131.0,272.2,0.257,0.1375,177.33333333333334,147.0,59.0,14.0,3.6,1.17
